path,size,mtime,lastcommit,refs
desktop/src-tauri/icons/ios/AppIcon-20x20@2x-1.png,3219,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/ios/AppIcon-20x20@2x.png,3219,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/ios/AppIcon-20x20@3x.png,6266,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/ios/AppIcon-29x29@1x.png,1930,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/ios/AppIcon-29x29@2x-1.png,5903,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/ios/AppIcon-29x29@2x.png,5903,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/ios/AppIcon-29x29@3x.png,11545,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/ios/AppIcon-40x40@1x.png,3219,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/ios/AppIcon-40x40@2x-1.png,10058,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/ios/AppIcon-40x40@2x.png,10058,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/ios/AppIcon-40x40@3x.png,19617,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/ios/AppIcon-512@2x.png,678530,2026-08-09 19:09:51,2026-08-09,
desktop/src-tauri/icons/ios/AppIcon-60x60@2x.png,19617,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/ios/AppIcon-60x60@3x.png,38057,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/ios/AppIcon-76x76@1x.png,9182,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/ios/AppIcon-76x76@2x.png,28843,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/ios/AppIcon-83.5x83.5@2x.png,33593,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/src/audit.rs,6953,2026-08-09 16:32:56,2026-08-09,13
desktop/src-tauri/src/backends/appimage.rs,3297,2026-08-09 13:09:35,2026-08-09,4
desktop/src-tauri/src/backends/apt.rs,9676,2026-08-09 12:43:46,2026-08-09,35
desktop/src-tauri/src/backends/flatpak.rs,1814,2026-08-09 13:08:52,2026-08-09,6
desktop/src-tauri/src/backends/mod.rs,5898,2026-08-09 13:10:00,2026-08-09,60
desktop/src-tauri/src/backends/npm.rs,1589,2026-08-09 13:09:08,2026-08-09,6
desktop/src-tauri/src/backends/pip.rs,1503,2026-08-09 13:08:58,2026-08-09,5
desktop/src-tauri/src/backends/snap.rs,1770,2026-08-09 13:08:41,2026-08-09,22
desktop/src-tauri/src/backends/systemd.rs,1769,2026-08-09 13:09:27,2026-08-09,6
desktop/src-tauri/src/commands.rs,7508,2026-08-09 13:04:14,2026-08-09,6
desktop/src-tauri/src/config.rs,844,2026-08-09 13:10:31,2026-08-09,29
desktop/src-tauri/src/db.rs,2250,2026-08-09 00:15:15,2026-08-09,27
desktop/src-tauri/src/desktop.rs,3020,2026-08-09 12:30:08,2026-08-09,14
desktop/src-tauri/src/domain.rs,11750,2026-08-09 13:02:48,2026-08-09,23
desktop/src-tauri/src/dto.rs,1413,2026-08-09 16:32:58,2026-08-09,4
desktop/src-tauri/src/error.rs,5107,2026-08-09 00:12:52,2026-08-09,61
desktop/src-tauri/src/exec.rs,845,2026-08-09 00:18:26,2026-08-09,35
desktop/src-tauri/src/executor.rs,5574,2026-08-09 13:11:08,2026-08-09,5
desktop/src-tauri/src/lib.rs,1861,2026-08-09 13:10:45,2026-08-09,18
desktop/src-tauri/src/main.rs,182,2026-08-09 00:06:50,2026-08-09,34
desktop/src-tauri/src/planner.rs,15367,2026-08-09 13:10:43,2026-08-09,3
desktop/src-tauri/src/policy.rs,1286,2026-08-09 13:10:35,2026-08-09,12
desktop/src-tauri/src/residue.rs,7533,2026-08-09 16:36:41,2026-08-09,18
desktop/src-tauri/src/runner.rs,22001,2026-08-09 13:10:44,2026-08-09,6
desktop/src-tauri/src/scanner.rs,10688,2026-08-09 12:55:20,2026-08-09,3
desktop/src-tauri/src/schema.sql,7663,2026-08-09 12:58:38,2026-08-09,
desktop/src-tauri/src/snapshot.rs,15013,2026-08-09 16:36:42,2026-08-09,20
desktop/src-tauri/tauri.conf.json,930,2026-08-09 16:10:32,2026-08-09,
desktop/src/app.html,414,2026-08-09 00:06:50,2026-08-09,
desktop/src/lib/api.ts,4871,2026-08-09 16:32:58,2026-08-09,14
desktop/src/routes/+layout.ts,290,2026-08-09 00:06:50,2026-08-09,4
desktop/src/routes/+page.svelte,28649,2026-08-09 19:21:54,2026-08-09,4
desktop/static/favicon.png,1571,2026-08-09 00:06:50,2026-08-09,
desktop/static/logo-full.png,539423,2026-08-09 19:09:37,2026-08-09,
desktop/static/logo.png,319186,2026-08-09 19:09:37,2026-08-09,
desktop/static/svelte.svg,1950,2026-08-09 00:06:50,2026-08-09,
desktop/static/tauri.svg,2599,2026-08-09 00:06:50,2026-08-09,
desktop/static/vite.svg,1497,2026-08-09 00:06:50,2026-08-09,
desktop/svelte.config.js,573,2026-08-09 00:06:50,2026-08-09,0
desktop/tsconfig.json,675,2026-08-09 00:06:50,2026-08-09,
desktop/vite.config.js,828,2026-08-09 00:06:50,2026-08-09,0
docs/00-domain/CONTEXT_MAP.md,8850,2026-08-08 22:23:24,2026-08-09,
docs/00-domain/DOMAIN.md,17619,2026-08-08 22:39:29,2026-08-09,
docs/01-requirements/REQUIREMENTS.md,34823,2026-08-08 23:04:53,2026-08-09,
docs/02-spec/SPEC.md,60940,2026-08-08 23:08:42,2026-08-09,
docs/03-review/PASS,0,2026-08-08 23:12:46,2026-08-09,
docs/03-review/VERDICT.md,12961,2026-08-08 23:12:34,2026-08-09,
docs/USER_MANUAL.md,8684,2026-08-09 14:05:33,2026-08-09,
media/app-remover-logo.png,2194309,2026-08-09 18:52:20,2026-08-09,
prompts/p0_domain.txt,482,2026-08-08 21:12:07,2026-08-08,
prompts/p1_requirements.txt,405,2026-08-08 21:12:07,2026-08-08,
prompts/p2_spec.txt,343,2026-08-08 21:12:07,2026-08-08,
prompts/p3_review.txt,563,2026-08-08 21:12:07,2026-08-08,
prompts/p4_code.txt,428,2026-08-08 21:12:07,2026-08-08,
raw_idea.txt,318,2026-08-08 21:31:52,2026-08-09,
